classId,className,firstEvent,lastEvent,numStudents,numEvents
957,PMATH 330 Online - Winter 2022,2021-11-24 16:27:02.027000 UTC,2022-04-22 15:57:08.858000 UTC,109,44058
930,STAT 316 Winter 2022,2022-01-05 06:26:03.199000 UTC,2022-04-28 20:05:53.066000 UTC,109,20727
859,ECON 101 Online - Fall 2021 - 081,2021-08-09 16:00:13.293000 UTC,2021-12-16 04:16:21.789000 UTC,108,176700
337,GENE 123 - Winter 2020 - Lab 104,2020-01-06 05:35:47.201000 UTC,2020-04-26 01:54:09.879000 UTC,108,90404
166,MATH 128 Online - Winter 2019,2018-12-14 15:05:37.343000 UTC,2019-11-23 00:39:06.065000 UTC,107,193193
500,ACTSC 221 Online - Fall 2020,2020-07-30 15:56:48.046000 UTC,2021-01-04 18:23:32.106000 UTC,107,141640
126,CHEM 123 Online - Fall 2018,2018-09-12 02:22:14.947000 UTC,2019-02-22 02:06:47.669000 UTC,106,66354
247,BIOL 303 - Spring 2019,2019-05-22 03:31:28.064000 UTC,2019-08-17 16:11:10.036000 UTC,106,33578
234,CO 480 - Spring 2019,2019-05-06 04:23:08.748000 UTC,2019-08-07 20:30:24.514000 UTC,106,30138
1028,MATH 135 Online - Spring 2022,2022-05-02 04:47:20.394000 UTC,2022-08-18 16:10:58.501000 UTC,105,131169
899,SYDE 211 - Fall 2021,2021-09-08 04:12:18.627000 UTC,2022-04-08 21:44:10.727000 UTC,105,101029
213,PHYS 112 Online - Spring 2019,2019-04-24 14:21:39.351000 UTC,2019-08-20 06:46:04.565000 UTC,105,51814
145,NE 224L - Fall 2018,2018-09-13 12:41:52.254000 UTC,2018-11-28 06:26:39.986000 UTC,105,23129
262,MATH 692 Online - Fall 2019,2019-08-14 20:59:35.025000 UTC,2019-12-10 19:56:18.341000 UTC,104,70075
447,PMATH 330 Online - Spring 2020,2020-05-06 19:26:53.325000 UTC,2020-08-15 21:40:43.978000 UTC,104,44372
703,MATBUS 471 Winter 2021,2021-01-06 20:58:41.793000 UTC,2021-05-01 00:42:34.627000 UTC,103,267288
641,ACTSC 232 Online - Winter 2021,2021-01-04 15:54:27.778000 UTC,2021-05-09 14:05:27.673000 UTC,103,155337
173,MATH 681 Online - Winter 2019,2018-11-30 19:38:50.125000 UTC,2019-05-06 00:57:27.270000 UTC,102,194284
650,MATH 106 Online - Winter 2021,2021-01-11 05:58:58.603000 UTC,2021-05-10 02:50:26.552000 UTC,102,95194
1025,MATH 106 Online - Spring 2022,2022-03-29 17:33:33.609000 UTC,2022-08-15 14:07:03.935000 UTC,102,77359
319,MATH 681 Online - Winter 2020,2019-12-04 21:27:49.298000 UTC,2020-05-02 06:56:41.966000 UTC,101,175061
692,PHYS 125 - Winter 2021,2021-01-11 05:13:47.347000 UTC,2021-04-14 04:01:25.680000 UTC,101,60835
281,COMM 101 - Fall 2019,2019-09-04 14:53:28.469000 UTC,2019-12-04 04:51:17.164000 UTC,101,58083
782,NE 224L - Spring 2021,2021-05-12 17:44:09.734000 UTC,2021-09-07 01:20:52.043000 UTC,101,40926
381,KIN 204L - Winter 2020,2020-03-25 13:06:14.520000 UTC,2020-04-26 19:43:40.745000 UTC,101,16661
403,ACTSC 232 Online - Spring 2020,2020-05-08 20:06:15.948000 UTC,2020-09-08 01:20:54.747000 UTC,100,186193
862,ECON 101 Online - Fall 2021 - 085,2021-08-10 14:41:01.228000 UTC,2021-12-25 01:01:31.225000 UTC,100,185325
761,MATH 135 Online - Spring 2021,2021-05-10 04:18:57.547000 UTC,2021-08-29 18:21:48.252000 UTC,100,177357
802,STAT 372 Spring 2021,2021-05-10 05:25:54.250000 UTC,2021-09-08 03:22:55.967000 UTC,100,111383
871,SDS 250R/SWREN 250R Online - Fall 2021,2021-09-08 11:38:19.660000 UTC,2022-01-01 23:34:58.889000 UTC,100,98829
192,CHEM 254 - Winter 2019,2019-01-16 03:37:23.085000 UTC,2019-05-03 13:45:12.252000 UTC,100,90130
1068,MTE 120 - Spring 2022,2022-05-06 19:07:57.071000 UTC,2022-07-13 17:59:08.814000 UTC,100,4091
841,MATH 104 Online - Fall 2021,2021-09-08 04:52:50.359000 UTC,2021-12-10 16:14:44.056000 UTC,99,180173
115,MATH 692 Online - Fall 2018,2018-10-08 04:57:31.145000 UTC,2019-01-06 18:23:14.364000 UTC,99,75680
207,MATH 127 Online - Spring 2019,2019-04-25 15:25:21.939000 UTC,2019-08-15 04:59:47.002000 UTC,98,236911
346,GENE 123 - Winter 2020 - Lab 103 - Fiona,2020-01-10 13:30:07.789000 UTC,2020-04-21 20:57:17.952000 UTC,98,140070
333,MATBUS 471 - Winter 2020,2019-12-27 18:44:46.473000 UTC,2020-06-18 21:47:57.038000 UTC,98,92464
130,CHEM 209 - Fall 2018,2018-09-07 16:13:07.805000 UTC,2019-01-06 23:11:16.807000 UTC,98,28916
660,MATH 674 (Topic 1) Online - Winter 2021,2020-12-18 21:16:33.323000 UTC,2021-04-20 12:21:01.881000 UTC,97,174573
808,ME 123 - Spring 2021,2021-05-10 17:30:27.852000 UTC,2021-08-13 18:45:15.941000 UTC,97,135035
850,MATH 630 Online - Fall 2021,2021-09-08 05:43:21.825000 UTC,2022-01-05 03:20:58.636000 UTC,97,103590
1065,CHEM 123L - Spring 2022,2022-05-02 04:37:11.526000 UTC,2022-08-03 23:16:25.481000 UTC,97,64649
294,NE 222L - Fall 2019,2019-09-04 11:16:04.880000 UTC,2019-11-28 00:13:18.961000 UTC,97,28722
726,SYDE 211 - Winter 2021,2021-01-11 05:11:10.150000 UTC,2021-05-10 03:23:13.821000 UTC,96,138520
116,MATH 128 Online - Fall 2018,2018-08-28 15:48:26.778000 UTC,2019-01-07 05:01:32.234000 UTC,95,182406
185,MATBUS 471 - Winter 2019,2019-01-08 00:28:12.858000 UTC,2019-04-16 19:19:26.881000 UTC,95,93558
453,NE 225 - Spring 2020,2020-05-20 13:52:45.257000 UTC,2020-08-06 23:53:49.368000 UTC,95,71660
784,ECE 493t42 - Spring 2021,2021-06-21 20:30:03.400000 UTC,2021-08-25 05:12:44.392000 UTC,95,26143
584,MATBUS 471 - Fall 2020,2020-08-25 14:08:21.501000 UTC,2021-01-05 02:49:43.178000 UTC,94,222894
441,SYDE 112 - Spring 2020,2020-05-11 04:22:29.311000 UTC,2020-08-22 22:37:22.489000 UTC,94,169369
443,MATH 135 - Spring 2020,2020-05-07 18:34:58.586000 UTC,2020-10-09 17:36:41.051000 UTC,94,79924
454,NE 334 - Spring 2020 Statistical Thermodynamics,2020-05-16 19:14:14.229000 UTC,2020-08-06 04:01:04.352000 UTC,94,38876
785,ECE 657A - Spring 2021,2021-07-20 17:52:52.128000 UTC,2021-09-01 04:25:22.333000 UTC,94,29213
946,MATH 135 Online - Winter 2022,2022-01-05 05:52:22.056000 UTC,2022-04-22 13:40:41.214000 UTC,93,107179
491,OPTOM 106 - Fall 2020,2020-09-08 11:59:51.871000 UTC,2021-07-09 02:07:27.507000 UTC,93,61219
665,PMATH 330 Online - Winter 2021,2020-12-10 21:45:09.421000 UTC,2021-04-29 01:34:50.712000 UTC,93,36510
648,COMM 101 Online - Winter 2021,2021-01-11 05:34:59.044000 UTC,2021-05-10 02:11:24.459000 UTC,92,156641
502,ACTSC 232 Online - Fall 2020,2020-09-04 17:55:58.371000 UTC,2021-01-05 04:08:06.281000 UTC,92,110158
734,MATH 114 Winter 2021,2021-01-22 21:24:51.590000 UTC,2021-04-29 17:00:36.987000 UTC,92,77178
287,ACTSC 221 - Fall 2019,2019-08-26 18:52:13.325000 UTC,2020-08-21 19:20:12.031000 UTC,92,69166
986,SYDE 112 Winter 2022,2022-01-05 05:13:13.304000 UTC,2022-04-29 03:55:39.666000 UTC,92,65735
903,MATH 114 - Fall 2021,2021-09-07 19:55:19.278000 UTC,2022-01-01 14:36:52.262000 UTC,92,21112
767,MATH 661 Online - Spring 2021,2021-04-26 04:12:02.631000 UTC,2021-08-26 15:11:48.090000 UTC,91,112435
412,NE 224 - Spring 2020,2020-05-11 12:39:52.223000 UTC,2021-05-13 14:47:28.606000 UTC,91,16497
585,BME 285 - Fall 2020,2020-09-03 16:29:26.034000 UTC,2021-01-05 03:40:59.577000 UTC,90,130042
168,MATH 674 (Topic 1) Online - Winter 2019,2018-12-10 18:43:31.311000 UTC,2019-05-03 15:27:44.441000 UTC,90,129636
713,MNS 322 - Winter 2021,2021-01-20 15:58:15.928000 UTC,2021-04-23 02:27:15.472000 UTC,90,16858
544,SYDE 211 - Fall 2020,2020-09-08 05:45:06.009000 UTC,2020-12-26 22:44:47.655000 UTC,89,137583
824,NE 334 - Spring 2021,2021-05-31 01:13:58.246000 UTC,2021-08-26 17:13:55.468000 UTC,89,24908
1016,CHEM 350 Winter 2022,2022-02-03 07:28:40.950000 UTC,2022-04-19 21:45:08.224000 UTC,89,9065
426,ECE 493 - Spring 2020 Prob Reason &amp; Reinforce Learn,2020-07-09 12:16:42.568000 UTC,2020-07-11 12:07:55.529000 UTC,89,7125
759,MATH 127 Online - Spring 2021,2021-03-15 20:39:48.877000 UTC,2021-09-08 02:19:09.183000 UTC,88,188647
266,MATH 128 Online - Fall 2019,2019-07-24 14:35:34.397000 UTC,2019-12-19 17:43:58.715000 UTC,88,126842
974,MATH 106 Winter 2022,2022-01-05 05:37:36.023000 UTC,2022-01-26 19:59:02.855000 UTC,88,17642
309,AMATH 250 Online - Winter 2020,2019-11-11 15:50:10.891000 UTC,2020-05-08 02:01:40.624000 UTC,87,165851
573,COMM 321 - Spring 2020,2020-08-10 04:18:59.571000 UTC,2020-08-21 16:37:45.335000 UTC,87,19575
446,AFM 372 - Spring 2020,2020-05-28 18:03:59.207000 UTC,2020-08-24 19:40:36.468000 UTC,86,28056
672,CHE 161 - Biology for Engineers - Winter 2021,2021-01-11 06:40:43.886000 UTC,2021-05-08 17:08:39.287000 UTC,85,183422
112,STAT 230 Online - Fall 2018,2018-08-21 13:55:58.978000 UTC,2018-12-22 06:05:32.476000 UTC,85,163691
633,CHE 101 - Winter 2021,2021-01-07 14:50:33.591000 UTC,2021-05-08 17:29:23.645000 UTC,85,49525
526,PMATH 330 Online - Fall 2020,2020-09-08 04:23:53.827000 UTC,2020-12-18 20:25:25.374000 UTC,85,37708
985,EARTH 390 - Winter 2022,2022-02-11 15:30:17.067000 UTC,2022-04-26 23:06:29.052000 UTC,85,35233
499,PMATH 340 - Fall 2020,2020-09-01 14:39:19.318000 UTC,2020-12-04 07:48:09.322000 UTC,85,19180
169,STAT 231 Online - Winter 2019,2018-12-05 14:51:57.217000 UTC,2020-06-11 01:02:36.605000 UTC,84,145684
399,ACTSC 431 Online - Spring 2020,2020-05-01 15:32:42.410000 UTC,2020-08-18 05:15:52.775000 UTC,84,43734
240,CHEM 123L - s'19,2019-05-08 15:44:40.452000 UTC,2019-08-11 03:49:42.124000 UTC,84,9147
314,MATH 128 Online - Winter 2020,2019-12-18 16:13:58.853000 UTC,2020-05-03 17:34:19.118000 UTC,83,146399
661,MATH 674 (Topic 2) Online - Winter 2021,2020-12-18 22:25:26.144000 UTC,2021-04-25 18:56:23.601000 UTC,83,98670
691,PHYS 115 - Winter 2021,2021-01-11 05:24:53.134000 UTC,2021-04-13 19:49:26.831000 UTC,83,68983
380,CHE 161 - Biology for Engineers - Spring 2020,2020-07-13 13:03:19.840000 UTC,2021-08-13 23:23:11.706000 UTC,83,40866
718,EARTH 238 Lab - Winter 2021,2021-01-11 15:43:04.398000 UTC,2021-04-28 21:09:40.657000 UTC,83,18469
524,MATH 692 Online - Fall 2020,2020-10-12 04:18:40.778000 UTC,2021-01-05 02:19:53.187000 UTC,82,54281
479,MATH 127 Sandbox,2020-09-02 20:45:46.459000 UTC,2022-06-13 17:21:07.979000 UTC,82,960
203,ACTSC 231 Online - Spring 2019,2019-03-13 15:14:54.630000 UTC,2019-09-04 04:00:11.982000 UTC,81,125409
103,STAT 231 Online - Fall 2018,2018-09-06 04:18:36.252000 UTC,2018-12-11 19:12:31.029000 UTC,81,68202
1038,PSYCH 292 Online - Spring 2022,2022-05-02 06:35:49.849000 UTC,2022-08-15 13:46:57.689000 UTC,81,37175
