userId,tot_actions
1117169f-b4e8-4adb-aa39-ad6b9cde82f5,1299
0ddf791f-d3b2-4f83-b252-6880d1eea35c,980
0eeb6df6-3bf9-468c-8a56-0f5275667906,619
0d9540ef-67d0-4116-8662-f09cfbc2e283,1849
110e9aad-79ab-445d-b15f-7b0b66bfc14c,1178
12214a04-a9ac-4c26-9489-24d813a221d2,2861
0d100765-59a3-4ae4-a543-f44506d86e12,1054
0c9ade12-e4df-4614-ae54-4fdc5811ca90,1957
0ef192b6-2185-4c25-91cb-08ce8143c555,580
2831cced-e0ed-444e-bd5f-ccd63aeb2c21,3406
256ec1bb-51c5-45d8-934d-0935c6180044,938
2792ce5b-4538-4f71-b664-2c51f1368185,2446
287edd82-d5a9-4e54-a902-4d3871df0fc1,1767
2622e026-1627-4055-bb09-e38909451e67,1305
28554a96-c65d-4aac-94dc-f17dbb6fa53b,1340
2372e191-ff20-4290-b0b7-80c7bd7a9fba,2337
2664da5f-6a2f-4fc1-91a6-d6b52a48e762,2388
27000b74-603b-4a46-9bd5-73e59b13e3ef,1247
24a3b232-d091-4a2d-b98d-45c12ee88b15,1304
272badf7-4248-4e47-9f26-8594110a2520,3836
2846e085-52e1-4958-a862-f0df3f854623,1426
284f934f-c055-4478-9fdc-3ee70bd75fd8,2123
21c5aa60-d280-44f8-9228-e05bf5b5e637,1195
22e8dc37-103b-4a62-9c74-dd19874d7351,858
269ab696-5c43-4eb5-a292-f136252587ba,1272
2426afc8-a481-4c01-af85-15f8c75a5dde,1297
2346c4c2-f3b7-4623-b677-c2e6a3cf2922,1879
279f14fa-f37e-439d-8636-51162d5bba03,35
38ac805e-b471-4f1a-8749-ee135b6bf92a,3549
37d5f966-fa75-4e94-8441-7b32dd42347e,1354
367b67ae-bcaf-4e1e-b85a-70ecbfca8f4f,3070
3a233bd9-c804-4655-a3fb-42a20e978430,976
399189ea-bad5-45b4-a143-4665c168ab16,4202
36c24e52-5749-4fcd-8445-cadb076c1bd6,446
36a9431c-1e59-4ef4-adef-3a7081f0d121,5770
3964ba37-108d-44b5-ae73-20f00c6b496b,1536
369ebc15-a819-4dde-8a97-86f65a71f1e6,1172
3a0472a3-926f-40a8-bde2-18ff11fcb91d,4844
372efcd3-26cd-4d83-b4a4-8512b3894eec,5055
37854f77-4c5e-4904-aa96-9e039934908f,8
1695946e-21be-4b5d-b964-41dfd5f1a106,1747
16357f35-7380-4e8b-a38b-cb1bd91829ff,2318
16e7e2e3-21ee-48f0-973f-3939bee4d404,1950
13a7f90a-5e03-4bfe-8a46-bd41b9a9b89b,1510
12b45f8e-9fb1-449c-bfc6-bd6703ff559d,989
16839fef-6b69-4985-9b20-1cc3f3b0e2df,1719
140d6383-cf85-4c9c-b651-3703b691307e,585
1258e839-0c7d-4050-9d96-0bfae8fb3857,2737
1398141b-d58b-4383-9cac-9244d2c71213,1936
1556a6b2-55a7-4ac7-873a-c1b6d26906dc,1010
14b08907-c88e-4025-9a6f-bb1ba5579eaf,367
12e98ead-829b-4370-89b0-dc83203427c9,2380
13a68194-1b1e-4de1-beb3-ef3f27a0c186,942
1244c264-4fce-44eb-99d2-0e02f8932cbd,4199
13434f2e-8ea7-45ec-8811-02b0a01979ef,713
15079aef-2aca-4921-843f-cfa68c8688fa,58
13de739c-307f-4381-b944-94c17d63091c,2
45b5edb3-a131-4cda-85c4-0338e371eb2c,4828
432dda25-d7a5-4158-8886-e9ed5ec5e40c,2673
43f3c06c-a27a-46b2-a55d-2e700ac4620e,2656
458a2e1a-21d8-4b3a-b837-cc5684ca3543,2478
44138d0b-7554-4165-9c51-44bb453f1fb8,1190
45c37d46-a8cd-433e-89fe-87ac571f4f91,1152
44c36b59-3475-456a-a005-744a2b7c11af,1666
42e964e8-463e-49ae-974c-86c265014f64,2778
425b840e-a574-475f-8c04-657082a22709,4389
44a47638-8514-45b9-b438-6f3c0312c0f1,713
45674092-7447-4fe6-b481-43c82fe2f809,3497
46e47ef1-7961-497b-9108-fbe24a070521,571
47855560-038a-405f-bd6c-c556c2ac9e93,1152
43d16eb6-b6b9-4b9d-8fd2-fdbe921fd20d,2389
2a3da94f-f433-4ea9-852e-4cea955693ca,4134
2a765442-a928-4fc5-b0c3-d860b5548632,1754
29c0cf96-4f95-4b3a-8617-5431015e8800,2141
2ef8711c-eba2-40d8-8cb4-9808c9305943,4646
2ab6422b-aed0-4177-a57e-d265aaab9568,5080
2d15dc0c-367b-434d-93f6-a956362bd127,2604
29ba3721-4058-45ee-b1a3-d679e231037a,2596
2ae73295-07f5-4c17-b6e1-08e515a5f1c4,1480
28eae9c4-1141-4c25-9a9e-0511a3ec0491,1773
29c8f5eb-32c0-4d1d-9b09-dd535811224c,2167
299ab367-3b3d-4b04-abf4-0536924aa97e,742
29b5bccc-efa2-4de6-a23e-9c6062a2c465,32
05b7bfb7-42c9-4e5e-b788-fa1f7f5a6f47,2412
053084cb-918e-46f1-9c66-501bfd0647a1,968
0615db93-17c6-4e55-93e2-922c171c50a8,3555
01898b6c-e1fe-4adc-a1d6-44449e4d9add,1234
059e2049-4882-46a3-8b7c-e2c3086abb0d,7802
02aa3c1b-79b3-4fe5-bdf0-72c2606c183c,2951
024f62af-edf9-4e18-bfb1-1e7c9cd4e2a8,1889
009d2a24-0a75-4a31-bb14-83702b6270a6,926
